product_id,product_url,name,discount,discounted_price,original_price,rating,product_info
8222133,https://www.dresslily.com/polka-dots-naked-belly-faux-product8222133.html,Polka Dots Naked Belly Faux Tie Print Christmas Hoodie,53,18.41,38.98,,"Clothes Type:Hoodie;Occasion:Christmas Day,Daily,Festival,Going Out,Night Out,Sports;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Candy,Polka Dot,Print;Season:Fall,Spring,Winter;Weight:0.4400kg;Package Contents:1 x Hoodie"
8154430,https://www.dresslily.com/cat-pattern-casual-long-sleeved-product8154430.html,Skull Cat Pattern Casual Hoodie,51,19.99,40.49,,"Clothes Type:Hoodie;Occasion:Daily,Festival,Going Out,Halloween;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Animal;Season:Fall,Spring,Winter;Weight:0.6000kg;Package Contents:1 x Hoodie"
5436103,https://www.dresslily.com/night-santa-claus-gift-print-product5436103.html,Night Santa Claus Gift Print Pullover Hoodie,67,14.90,44.64,,"Clothes Type:Hoodie;Occasion:Christmas Day,Daily,Daily Use,Festival,Going Out,Home,Night Out;Style:Cute;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Santa Claus;Season:Fall;Weight:0.5500kg;Package Contents:1 x Hoodie"
5082142,https://www.dresslily.com/christmas-santa-and-tree-print-product5082142.html,Christmas Santa and Tree Print Pullover Hoodie,63,13.94,37.51,,"Clothes Type:Hoodie;Occasion:Christmas Day;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Santa Claus;Season:Fall,Winter;Weight:0.4800kg;Package Contents:1 x Hoodie"
2180104,https://www.dresslily.com/clown-print-graphic-embroidered-hoodie-product2180104.html,Clown Print Graphic Embroidered Hoodie,69,21.36,68.62,,"Style:Fashion;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Weight:0.7400kg;Package Contents:1 x Hoodie"
8210920,https://www.dresslily.com/christmas-santa-claus-letter-print-product8210920.html,Christmas Santa Claus Letter Print Hoodie,45,17.98,32.82,,"Clothes Type:Hoodie;Occasion:Christmas Day;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Letter,Santa Claus;Season:Fall,Spring,Winter;Weight:0.4250kg;Package Contents:1 x Hoodie"
8181035,https://www.dresslily.com/wolf-fire-3d-print-kangaroo-product8181035.html,Wolf Fire 3D Print Kangaroo Pocket Pullover Hoodie,43,23.90,41.88,,"Clothes Type:Hoodie;Occasion:Daily,Festival,Going Out,Night Out;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:3D Print,Animal;Season:Fall,Spring;Weight:0.5400kg;Package Contents:1 x Hoodie"
8164599,https://www.dresslily.com/halloween-scratch-print-front-pocket-product8164599.html,Halloween Scratch Print Front Pocket Drawstring Hoodie,50,17.55,35.23,,"Clothes Type:Hoodie;Occasion:Halloween;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Print;Season:Fall,Spring;Weight:0.5200kg;Package Contents:1 x Hoodie"
8164595,https://www.dresslily.com/skull-floral-print-long-sleeves-product8164595.html,Skull Floral Print Casual Hoodie,56,19.99,45.88,,"Clothes Type:Hoodie;Occasion:Going Out,Halloween;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Floral,Skull;Season:Fall,Spring,Winter;Weight:0.6000kg;Package Contents:1 x Hoodie"
2823628,https://www.dresslily.com/kangaroo-pocket-camo-horse-pattern-product2823628.html,Kangaroo Pocket Camo Horse Pattern Pullover Hoodie,66,14.54,43.20,,"Clothes Type:Hoodie;Occasion:Casual ,Going Out,Sports;Style:Casual;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal,Camouflage;Weight:0.5100kg;Package Contents:1 x Hoodie"
