product_id,rating,timestamp,text,size,color
2793379,4,"Jul,07 2019 14:17:13",Received it on time. My man likes his new hoodie. It's pretty lightweight - good for Summer evenings.,XL,COLORMIX
969312,4,"Apr,17 2017 06:32:51","It's an alright hoodie. Fits well, is comfortable, and I like the look. THe hood is just a bit too small, but it's all good if you wear it fashionably",XL,BLACK
3238832,5,"Aug,20 2019 18:50:10","Good quality jumper, like it a lot. I would order a size bigger than you normally would though",XL,CADETBLUE
2861941,5,"Jan,30 2020 20:54:30","Really love that shirt,",L,COLORMIX
2861941,5,"Sep,05 2018 02:50:00",I was very surprised with the quality of this shirt with hoodie will be warm in the winter and it feels good to use it for dress or casual,L,COLORMIX
2284592,5,"Nov,15 2019 19:33:13",great graphics soft comfy.,2XL,YELLOW
2284592,5,"Jun,16 2019 23:02:30",Satisfactory Customer Service great I love it,XL,YELLOW
2284592,5,"Nov,18 2018 18:15:01",thanks,3XL,YELLOW
2284592,5,"Aug,23 2018 23:54:04",Love love love this sweater I’d recommend jus buy one size up,M,YELLOW
1650594,5,"Sep,14 2018 21:30:37","É uma peça bastante bonita, veio com um bom acabamento e recomendo",2XL,BLACK/BLUE
1650594,5,"Dec,22 2016 06:32:25",plese ship to me,2XL,BLACK/BLUE
1650594,5,"Dec,13 2016 01:41:28",fits perfect,L,LIGHT GRAY
1650594,5,"Nov,24 2016 21:31:07",this is a great product for anyone who likes the style. i absolutely love my purchase of this sweater hoodie. the colors are so bright and the fabric is warm and soft.,XL,BLACK/BLUE
1650594,5,"Nov,16 2016 03:35:43",love the color an the style of this shirt cant wait to wear it,5XL,BLACK/BLUE
8244581,5,"Dec,31 2019 01:09:10",it is a perfect fit,2XL,WHITE
3231326,5,"Dec,28 2019 08:14:04",love this it's a little snug for 2 XL but still a good buy,2XL,multicolor
2961279,5,"Jul,01 2019 02:58:17",Received it on time,L,LIGHT SKY BLUE
8192523,5,"Dec,07 2019 03:21:38",true to size and very warm... may order a few moren,3XL,DARK GRAY
